REGI?N,PROVINCIA,DISTRITO,CODIGO DEL RECURSO,NOMBRE DEL RECURSO,CATEGOR?A,TIPO DE CATEGOR?A,SUB TIPO CATEGOR?A,URL,LATITUD,LONGITUD,FECHA_DE_CORTE
Tacna,Candarave,CANDARAVE,496,Volc?n Yucamani,1. SITIOS NATURALES,a. Monta?as,Volcanes,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=496,-70.19888862,-17.18250082,20241201
Ayacucho,Lucanas,SAN PEDRO,13066,Zona Arqueologica De Chillwamarka - ?aupallaccta,2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Ciudadelas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=13066,-74.10259,-14.791962,20241201
Lima,Lima,LIMA,3348,Plaza Mayor De Lima,2. MANIFESTACIONES CULTURALES,Lugares Hist?ricos,Plaza,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3348,-77.03060082,-12.04594748,20241201
Cajamarca,San Ignacio,SAN JOS? DE LOURDES,4396,Chorrera De Los Peroles Negros,1. SITIOS NATURALES,j. Ca?das de agua,Cataratas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4396,-78.890552,-5.102113,20241201
Puno,Azangaro,ARAPA,5028,Laguna De Arapa,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=5028,-69.99458313,-15.17420475,20241201
Puno,Puno,PUNO,11999,Plaza Mayor De Puno,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Plazas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11999,-70.02826953,-15.84077535,20241201
Puno,Lampa,LAMPA,11805,Arquer?as De Sillar,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Otros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11805,-70.36325649,-15.37310468,20241201
Jun?n,Huancayo,SAPALLANGA,6951,Danza Los Camilles De Sapallanga,3. FOLCLORE,M?sicas y Danzas,M?sica y Danzas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6951,-75.16,-12.1404,20241201
Ica,Pisco,SAN ANDR?S,8073,Pisco Playa,1. SITIOS NATURALES,l. Costas,Playas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=8073,-76.220694,-13.716093,20241201
Apurimac,Andahuaylas,SAN JER?NIMO,8217,Templo De San Jer?nimo,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Templo,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=8217,-73.36492896,-13.65104336,20241201
Pasco,Oxapampa,POZUZO,11603,Iglesia Sagrado Coraz?n De Jes?s - Pozuzo,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11603,-75.550906,-10.070561,20241201
Ancash,Pallasca,PALLASCA,12381,Iglesia San Juan Bautista,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12381,-77.99902151,-8.253469068,20241201
Ucayali,Atalaya,RAYMONDI,10983,Comunidad Nativa Unini,2. MANIFESTACIONES CULTURALES,Pueblos,Tradicionales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=10983,-73.973795,-10.640289,20241201
Madre De Dios,Tahuamanu,TAHUAMANU,11252,Ecoplaza De Conservaci?n San Lorenzo-Tahuamanu,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Plazas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11252,-69.321951,-11.454365,20241201
Piura,Sechura,SECHURA,13192,Playa Blanca,1. SITIOS NATURALES,l. Costas,Playas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=13192,-80.82222,-5.55694,20241201
Piura,Ayabaca,PACAIPAMPA,376,Laguna San Pablo,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=376,-79.65127373,-4.995673323,20241201
Cajamarca,Cajamarca,CAJAMARCA,641,Complejo Arqueol?gico De Layz?n,2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=641,-78.5565,-7.19363,20241201
Cajamarca,Celendin,OXAMARCA,665,Complejo Arqueol?gico La Chocta,2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=665,-78.03136433,-7.086339129,20241201
Ancash,Yungay,YUNGAY,1336,Nevado Pisco,1. SITIOS NATURALES,a. Monta?as,Nevado,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=1336,-77.62986595,-8.990801748,20241201
Piura,Morropon,CHULUCANAS,3194,Cerro ?a?a?ique,2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3194,-80.15733361,-5.094727189,20241201
Lambayeque,Ferre?afe,FERRE?AFE,3738,Fiesta De San Isidro El Labrador De Ferre?afe,5. ACONTECIMIENTOS PROGRAMADOS,Fiestas,Fiestas religiosas-patronales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3738,-79.7913,-6.63968,20241201
Piura,Morropon,MORROPON,6509,La Cumanana - Morrop?n,3. FOLCLORE,M?sicas y Danzas,M?sica y Danzas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6509,-79.9719,-5.18629,20241201
Piura,Ayabaca,PACAIPAMPA,8750,Laguna La Cruz,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=8750,-79.63827038,-4.982992861,20241201
San Mart?n,San Martin,TARAPOTO,11466,Laguna Ricuricocha,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11466,-76.40156932,-6.533019646,20241201
Cajamarca,San Ignacio,LA COIPA,10972,Cascada La Lima,1. SITIOS NATURALES,j. Ca?das de agua,Cascadas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=10972,-78.95279,-5.359604,20241201
Cajamarca,San Ignacio,LA COIPA,10969,Cascada Machetillo,1. SITIOS NATURALES,j. Ca?das de agua,Cascadas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=10969,-78.937491,-5.36806,20241201
Callao,Callao,CALLAO,11199,Sala De Exhibici?n Casa Fugaz (Edificio Ronald),2. MANIFESTACIONES CULTURALES,Museos y otros,Salas de Exhibici?n,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11199,-77.147466,-12.059961,20241201
Moquegua,General Sanchez Cerro,UBINAS,11301,Ciudadela Arqueol?gica De Poroque?a,2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Ciudadelas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11301,-70.74180801,-16.36128108,20241201
Amazonas,Luya,LUYA VIEJO,11559,Bosque V?squez Pampa,1. SITIOS NATURALES,?. Zonas paisaj?sticas,Bosques,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11559,-78.03358371,-6.130700638,20241201
Lima,Ca?ete,PACARAN,12235,Agroindustrias Vallesol,"4. REALIZACIONES T?CNICAS, CIENT?FICAS Y ART?STICAS CONTEMPOR?NEAS",Explotaciones Industriales,"Bodegas de pisco, vinos y/u otros licores",http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12235,-76.089873,-12.900138,20241201
Huanuco,Huanuco,AMARILIS,12587,Laguna Quiullococha,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12587,-76.1439,-9.9956,20241201
Jun?n,Jauja,HUARIPAMPA,13035,Pueblo Hist?rico De Huaripampa,2. MANIFESTACIONES CULTURALES,Pueblos,Hist?ricos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=13035,-75.47084,-11.807378,20241201
San Mart?n,Moyobamba,CALZADA,141,Morro De Calzada,1. SITIOS NATURALES,a. Monta?as,Cerros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=141,-77.0375061,-6.021409369,20241201
Piura,Paita,PAITA,2156,Puerto De Paita,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Puertos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=2156,-81.10615969,-5.084970387,20241201
Lima,Lima,LURIN,2788,Mirador Tur?stico Julio C. Tello,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Miradores,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=2788,-76.894098,-12.245822,20241201
Cusco,Urubamba,OLLANTAYTAMBO,3665,Las Canteras  De Cachiccata,1. SITIOS NATURALES,o. Otros,Otros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3665,-72.28917213,-13.26221421,20241201
Lambayeque,Chiclayo,ETEN PUERTO,3749,Antigua Estaci?n Del Ferrocarril De Puerto Eten,2. MANIFESTACIONES CULTURALES,Lugares Hist?ricos,Otros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3749,-79.86622809,-6.925559113,20241201
Ayacucho,Lucanas,CARMEN SALCEDO,11545,Acueducto Subterraneo De Puquioqta,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Canales de riego,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11545,-73.96192386,-14.37905157,20241201
Amazonas,Luya,TINGO,5922,Sitio Arqueol?gico El Imperio,2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=5922,-77.914427,-6.418362,20241201
Ayacucho,Huanca Sancos,SANTIAGO DE LUCANAMARCA,12984,Catarata Paliza,1. SITIOS NATURALES,j. Ca?das de agua,Cataratas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12984,-74.403948,-13.85628,20241201
Huancavelica,Angaraes,CCOCHACCASA,12367,Catarata De Ingenio - Ccasccabamba,1. SITIOS NATURALES,j. Ca?das de agua,Cataratas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12367,-74.87128692,-12.97012879,20241201
Apurimac,Andahuaylas,PAMPACHIRI,8874,Plaza De Armas De Pampachiri,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Plazas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=8874,-73.544535,-14.187011,20241201
Huanuco,Dos De Mayo,PACHAS,10338,Sitio Arqueol?gico Nunash,2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=10338,-76.776072,-9.727286,20241201
Piura,Morropon,CHULUCANAS,12448,Pueblo De Cruz Pampa - Yapatera,2. MANIFESTACIONES CULTURALES,Pueblos,Hist?ricos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12448,-80.15537201,-5.09451736,20241201
Jun?n,Jauja,MASMA CHICCHE,12520,Mirador De Rumichurco,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Miradores,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12520,-75.330779,-11.812172,20241201
Jun?n,Tarma,PALCAMAYO,12889,Formaciones Geol?gicas Hongos De Paculpunan De Palcamayo,1. SITIOS NATURALES,o. Otros,Formaciones rocosas(bosque de piedra),http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12889,-75.8165342,-11.2020854,20241201
Lima,Huarochiri,CHICLA,13032,Parque De La Amistad De Chicla,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Parques,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=13032,-76.26859,-11.70507,20241201
Puno,Huancane,HUANCANE,451,Templo Santiago Apostol,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Templo,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=451,-69.76086617,-15.20443334,20241201
Arequipa,Arequipa,YANAHUARA,598,Cuevas De Sumbay,2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Cuevas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=598,-71.349351,-15.975883,20241201
Apurimac,Cotabambas,HAQUIRA,651,C?rcel De Piedra O ?Qaqac?rcel? De Haquira,2. MANIFESTACIONES CULTURALES,Lugares Hist?ricos,Murallas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=651,-72.18793541,-14.213366,20241201
Madre De Dios,Tambopata,TAMBOPATA,718,Collpa Colorado,1. SITIOS NATURALES,o. Otros,Collpas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=718,-69.50920241,-12.99394648,20241201
Cajamarca,San Ignacio,SAN JOS? DE LOURDES,4423,Puente Colgante Rumichina,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Puentes,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4423,-78.89029451,-5.102283981,20241201
Puno,Carabaya,CORANI,11825,Galeria De Pinturas Rupestres De Isivilla- Corani,2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Pintura Rupestre,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11825,-70.546594,-13.94256,20241201
Arequipa,Arequipa,CAYMA,6758,Valle De Chilina,1. SITIOS NATURALES,c. Valles,Valles,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6758,-71.535804,-16.333963,20241201
Jun?n,Huancayo,SAPALLANGA,6957,El Chicharr?n Colorado Y Dorado De Sapallanga,3. FOLCLORE,Gastronom?a,Platos T?picos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6957,-75.16,-12.1404,20241201
Apurimac,Abancay,ABANCAY,8256,Mirador Del Cerro Quisapata,1. SITIOS NATURALES,?. Zonas paisaj?sticas,Miradores naturales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=8256,-72.87827969,-13.66846416,20241201
Pasco,Oxapampa,POZUZO,11608,Templo De La Divina Misericordia - Pozuzo,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Templo,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11608,-75.54295,-10.0965,20241201
Ancash,Bolognesi,HUALLANCA,11520,Nevado Chaupijanca,1. SITIOS NATURALES,a. Monta?as,Nevado,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11520,-77.00732619,-10.00204102,20241201
Lima,Huarochiri,SAN MATEO DE OTAO,13241,Mirador Valle Hermoso ? San Mateo De Otao,1. SITIOS NATURALES,?. Zonas paisaj?sticas,Miradores naturales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=13241,-76.561375,-11.857127,20241201
Lima,Cajatambo,COPA,10689,Mirador San Antonio,1. SITIOS NATURALES,?. Zonas paisaj?sticas,Miradores naturales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=10689,-76.89757,-10.35734,20241201
Tumbes,Contralmirante Villar,CASITAS,11425,Formaci?n Rocosa El G?isco,1. SITIOS NATURALES,o. Otros,Formaciones rocosas(bosque de piedra),http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11425,-80.67108,-3.843631,20241201
Cusco,La Convencion,PICHARI,11941,Catarata Velo De La Novia,1. SITIOS NATURALES,j. Ca?das de agua,Cataratas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11941,-73.759466,-12.530807,20241201
Loreto,Maynas,IQUITOS,149,Ex Colegio San Agust?n,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Escuela o Colegio,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=149,-73.24255011,-3.748985059,20241201
Amazonas,Luya,SANTO TOMAS,753,Sitio Arqueol?gico Revash,2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Cementerios,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=753,-77.8602223,-6.5407902,20241201
Madre De Dios,Tambopata,LABERINTO,5272,Centro De Investigaci?n Y Capacitacion Rio Los Amigos-Cicra,"4. REALIZACIONES T?CNICAS, CIENT?FICAS Y ART?STICAS CONTEMPOR?NEAS",Centros Cient?ficos y T?cnicos,Otros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=5272,-70.067701,-12.574522,20241201
Moquegua,Mariscal Nieto,TORATA,11733,Catacumbas De Torata,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Otros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11733,-70.844379,-17.076179,20241201
Cajamarca,Cutervo,CUTERVO,6395,Mirador Turistico Del Cerro Ilucan,1. SITIOS NATURALES,a. Monta?as,Cerros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6395,-78.81916,-6.37976,20241201
Huancavelica,Huancavelica,HUAYLLAHUARA,11644,Mirador  Natural  De Sunimarca,1. SITIOS NATURALES,?. Zonas paisaj?sticas,Miradores naturales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11644,-75.1752533,-12.4351759,20241201
Jun?n,Yauli,MARCAPOMACOCHA,10242,Campo De Batalla De Sangrar,2. MANIFESTACIONES CULTURALES,Lugares Hist?ricos,Sitios de Batalla,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=10242,-76.313,-11.491,20241201
Lima,Huaura,SANTA LEONOR,10965,Plaza De Armas De Picoy,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Plazas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=10965,-77.3616,-11.0714,20241201
Ancash,Sihuas,SIHUAS,11282,Complejo Recreacional Rupaj - Sihuas,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Parques,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11282,-77.56042099,-8.595053745,20241201
Cusco,La Convencion,MEGANTONI,11539,Mirador El Osheto,1. SITIOS NATURALES,?. Zonas paisaj?sticas,Miradores naturales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11539,-72.821944,-12.221666,20241201
Ayacucho,Huanta,HUANTA,11783,Mirador Del Cristo Blanco,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Miradores,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11783,-74.23403123,-12.92907612,20241201
Ica,Ica,ICA,11631,Plaza De Armas De Ica,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Plazas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11631,-75.729237,-14.064002,20241201
Arequipa,Arequipa,AREQUIPA,13194,Casa Museo Mario Vargas Llosa,2. MANIFESTACIONES CULTURALES,Museos y otros,Casas Museo,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=13194,-71.540771,-16.4061929,20241201
Tumbes,Tumbes,TUMBES,781,Paseo De La Concordia Peruana-Ecuatoriana.,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Paseos peatonales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=781,-80.45925111,-3.570386749,20241201
Ica,Nazca,VISTA ALEGRE,1615,Centro Administrativo Inca Los Paredones,2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=1615,-74.93434846,-14.84154135,20241201
Puno,Sandia,SANDIA,12547,Cascada Velo De Novia - Sandia,1. SITIOS NATURALES,j. Ca?das de agua,Cascadas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12547,-69.36898255,-14.17246139,20241201
San Mart?n,San Martin,LA BANDA DE SHILCAYO,2974,Cascadas De Tamushal - Alto Shilcayo,1. SITIOS NATURALES,j. Ca?das de agua,Cascadas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=2974,-76.334655,-6.43950838,20241201
Madre De Dios,Tahuamanu,TAHUAMANU,11754,Parque Nacional Alto Pur?s,1. SITIOS NATURALES,n. ?reas Protegidas,Parques Nacionales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11754,-71.28890783,-10.97476883,20241201
Piura,Sullana,MARCAVELICA,3265,Villa San  Miguel De Tangarara,2. MANIFESTACIONES CULTURALES,Pueblos,Hist?ricos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3265,-80.824901,-4.8853382,20241201
Lambayeque,Lambayeque,SAN JOS?,4265,Festividad De San Pedro  Pescador - San Jos?,5. ACONTECIMIENTOS PROGRAMADOS,Fiestas,Fiestas religiosas-patronales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4265,-79.9689,-6.77031,20241201
Ayacucho,Victor Fajardo,ALCAMENCA,12425,Quebrada De Huayanay Cucho,1. SITIOS NATURALES,d. Quebradas,Quebradas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12425,-74.1592175,-13.6526606,20241201
Apurimac,Abancay,CURAHUASI,8388,Laguna De Ccocha,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=8388,-72.62771446,-13.594473,20241201
Ancash,Asuncion,CHACAS,11780,Pueblo Artesanal De Chacas.,2. MANIFESTACIONES CULTURALES,Pueblos,Artesanales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11780,-77.36768633,-9.163173844,20241201
Apurimac,Chincheros,ANCO-HUALLO,13298,Mirador De Luicho Pucro,1. SITIOS NATURALES,?. Zonas paisaj?sticas,Miradores naturales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=13298,-73.652965,-13.515583,20241201
Puno,Chucuito,JULI,11498,Restos F?siles De Choccocconiri,2. MANIFESTACIONES CULTURALES,Museos y otros,Salas de Exhibici?n,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11498,-69.58604779,-16.31883668,20241201
Huanuco,Huamalies,MONZ?N,11047,Catarata Nueva Esperanza,1. SITIOS NATURALES,j. Ca?das de agua,Cataratas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11047,-76.142856,-9.239619,20241201
Ancash,Santa,NUEVO CHIMBOTE,11267,Catedral De La Di?cesis De Chimbote,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Catedral,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11267,-78.53076696,-9.121175553,20241201
Pasco,Oxapampa,PALCAZU,11354,Parque Nacional Yanachaga Chemill?n - Zona Paujil,1. SITIOS NATURALES,n. ?reas Protegidas,Parques Nacionales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11354,-75.2232571,-10.2525115,20241201
Moquegua,General Sanchez Cerro,UBINAS,11503,Qhapaq ?an (Yalagua-Cibaya),2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Otros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11503,-70.754699,-16.275956,20241201
Huanuco,Leoncio Prado,MARIANO DAMASO BERAUN,11903,F?brica De Chocolates Kimpito,"4. REALIZACIONES T?CNICAS, CIENT?FICAS Y ART?STICAS CONTEMPOR?NEAS",Explotaciones Industriales,F?bricas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11903,-76.029717,-9.325775,20241201
Cusco,La Convencion,KUMPIRUSHIATO,12094,Catarata De Ozonampiato,1. SITIOS NATURALES,j. Ca?das de agua,Cataratas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12094,-73.170098,-12.628552,20241201
Lima,Ca?ete,MALA,12747,Lomas De La Aguada - Mala,1. SITIOS NATURALES,l. Costas,Lomas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12747,-76.59704,-12.64243,20241201
Cusco,La Convencion,PICHARI,12575,Catarata San Jose - Monkirenshi,1. SITIOS NATURALES,j. Ca?das de agua,Cataratas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12575,-73.811346,-12.521928,20241201
Cusco,Cusco,SAYLLA,12612,Sitio Arqueologico De Silkinchani ( Sector A),2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Zonas arqueol?gicas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12612,-71.8610853,-13.5547293,20241201
Pasco,Oxapampa,OXAPAMPA,13039,Parque De Miraflores - Oxapampa,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Parques,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=13039,-75.38383271,-10.59663394,20241201
Ayacucho,Lucanas,CARMEN SALCEDO,1266,Pueblo De Andamarca,2. MANIFESTACIONES CULTURALES,Pueblos,Tradicionales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=1266,-73.961963,-14.387534,20241201
Arequipa,Caylloma,CALLALLI,1337,Castillos Encantados De Callalli,1. SITIOS NATURALES,o. Otros,Formaciones rocosas(bosque de piedra),http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=1337,-71.41245163,-15.50983869,20241201
Ancash,Huaraz,INDEPENDENCIA,1455,Nevado Ocshapalca,1. SITIOS NATURALES,a. Monta?as,Nevado,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=1455,-77.43564273,-9.408546491,20241201
Cajamarca,Cajamarca,CAJAMARCA,2427,Iglesia Y Convento La Recoleta,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=2427,-78.51274996,-7.161043379,20241201
Huancavelica,Tayacaja,PAMPAS,4416,Parque Ecologico De Chalapampa,"4. REALIZACIONES T?CNICAS, CIENT?FICAS Y ART?STICAS CONTEMPOR?NEAS",Otros,Otros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4416,-74.87413005,-12.40133171,20241201
Madre De Dios,Tambopata,TAMBOPATA,11753,Rio Las Piedras,1. SITIOS NATURALES,h. Corrientes de agua,R?os,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11753,-69.222366,-12.508926,20241201
