REGI?N,PROVINCIA,DISTRITO,CODIGO DEL RECURSO,NOMBRE DEL RECURSO,CATEGOR?A,TIPO DE CATEGOR?A,SUB TIPO CATEGOR?A,URL,LATITUD,LONGITUD,FECHA_DE_CORTE
Pasco,Oxapampa,PALCAZU,13219,Mirador Las Lomas,1. SITIOS NATURALES,?. Zonas paisaj?sticas,Miradores naturales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=13219,-75.161642,-10.190518,20241201
Puno,Chucuito,JULI,443,Templo Museo San Juan De Letran De Juli,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Templo,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=443,-69.458646,-16.210854,20241201
Ica,Pisco,PARACAS,1305,Islas Ballestas - Rnsiipg,1. SITIOS NATURALES,l. Costas,Islas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=1305,-76.39696258,-13.73707623,20241201
Lima,Lima,LIMA,1991,Museo Jos? Carlos Mari?tegui,2. MANIFESTACIONES CULTURALES,Museos y otros,Casas Museo,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=1991,-77.03893605,-12.06389,20241201
Cajamarca,Cajabamba,CAJABAMBA,2335,Quebrada Las Pozas Del Chivato Huayco,1. SITIOS NATURALES,d. Quebradas,Quebradas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=2335,-78.045396,-7.627328,20241201
Ucayali,Coronel Portillo,YARINACOCHA,2508,Laguna Huitococha,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=2508,-74.717878,-8.164411,20241201
Cusco,Calca,SAN SALVADOR,2618,Festividad Del Se?or De Huanca,5. ACONTECIMIENTOS PROGRAMADOS,Fiestas,Fiestas religiosas-patronales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=2618,-71.7802,-13.4938,20241201
Arequipa,Caraveli,ATIQUIPA,2737,Lomas De Atiquipa,1. SITIOS NATURALES,l. Costas,Lomas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=2737,-74.37559605,-15.75652982,20241201
Arequipa,Caraveli,CARAVEL?,2829,Paisaje Cultural Petroglifos De Ananta,2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Petroglifos (Grabados en piedra),http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=2829,-73.33347207,-15.78945837,20241201
Lambayeque,Chiclayo,ETEN PUERTO,3741,Festival Del Mar De Puerto Eten,5. ACONTECIMIENTOS PROGRAMADOS,Eventos,Festivales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3741,-79.8665,-6.92715,20241201
Puno,Lampa,PUCARA,4113,Museo L?tico De Pucar?,2. MANIFESTACIONES CULTURALES,Museos y otros,Museos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4113,-70.36863,-15.042573,20241201
